id;vendas_id;produto_id;item_quantidade;valor_unitario;valor_bruto
17716;1569;41;2;290;580
43553;686;24;2;106;212
48276;388;44;1;112;112
50388;3207;30;2;144;288
12211;1288;40;1;290;290
12774;1313;24;2;106;212
38645;2768;91;3;75;225
54296;3329;2;1;139;139
12979;1323;63;1;96;96
28162;2259;26;1;106;106
33907;2545;9;1;182;182
43498;698;25;4;106;424
52402;3063;18;1;146;146
755;80;92;3;75;225
14323;1386;56;1;178;178
24300;2026;91;12;75;900
31240;2418;71;1;150;150
47641;300;38;1;290;290
7158;947;18;2;146;292
14649;1406;72;1;150;150
24406;2034;49;2;153;306
25725;2116;49;3;153;459
42987;599;75;3;156;468
814;89;13;1;144;144
20172;1714;82;1;136;136
20553;1743;56;1;178;178
30341;2383;91;24;75;1800
50363;3207;5;4;84;336
1791;189;70;2;150;300
1905;202;61;1;187;187
9721;1129;1;1;139;139
15694;1458;41;1;290;290
50045;3180;17;1;146;146
50620;3266;63;1;96;96
51072;3248;41;1;290;290
3324;422;11;1;144;144
16743;1515;82;1;136;136
24992;2075;48;1;153;153
27057;2184;91;21;75;1575
46381;3022;89;3;115;345
20084;1709;44;3;112;336
41433;1168;68;1;106;106
7804;1007;63;1;96;96
18869;1632;82;1;136;136
20263;1725;87;1;115;115
49308;3189;24;1;106;106
52501;3065;89;1;115;115
52613;3071;7;2;84;168
3806;465;91;3;75;225
11697;1261;69;1;106;106
15542;1450;88;1;115;115
16569;1504;34;1;162;162
32868;2494;70;1;150;150
33710;2537;23;1;82;82
33920;2545;54;2;178;356
36277;2661;84;1;136;136
46099;3000;36;1;162;162
736;78;91;3;75;225
4372;517;74;1;156;156
7272;955;62;2;96;192
11144;1236;28;1;116;116
18446;1606;49;2;153;306
52642;3071;81;1;167;167
3415;437;69;3;106;318
19677;1692;79;1;167;167
21799;1827;91;3;75;225
23090;1927;73;1;150;150
34617;2585;85;1;136;136
39343;2825;85;1;136;136
42143;2962;25;1;106;106
51448;3347;24;1;106;106
5254;626;37;1;162;162
18387;1608;88;1;115;115
18579;1615;10;1;182;182
53865;3300;7;1;84;84
6274;810;63;1;96;96
23700;1993;48;4;153;612
28386;2266;91;6;75;450
31455;2428;9;2;182;364
38965;2788;20;1;82;82
41687;1195;62;2;96;192
43194;623;68;1;106;106
50577;3271;57;1;178;178
51223;3258;56;1;178;178
23465;1960;5;1;84;84
29630;2339;86;2;115;230
32203;2460;48;1;153;153
44002;773;36;2;162;324
46780;3035;82;2;136;272
51045;3248;12;1;144;144
1203;123;1;1;139;139
1384;142;25;1;106;106
9051;1084;81;1;167;167
30486;2388;93;6;75;450
38274;2743;3;2;139;278
38637;2767;39;1;290;290
48440;417;44;1;112;112
49896;3170;55;1;178;178
7609;986;61;1;187;187
33149;2508;14;1;167;167
34486;2570;33;1;144;144
38609;2770;48;1;153;153
38625;2769;28;1;116;116
40746;1116;18;1;146;146
52608;3069;16;1;167;167
3500;440;54;1;178;178
6392;836;35;1;162;162
8575;1064;49;3;153;459
11176;1242;91;9;75;675
32958;2498;40;1;290;290
33850;2540;72;1;150;150
795;83;55;1;178;178
16313;1493;53;1;490;490
16396;1496;18;3;146;438
28651;2283;73;1;150;150
30756;2401;58;1;187;187
34368;2562;15;1;167;167
2214;248;41;1;290;290
4812;569;90;3;75;225
10632;1212;44;1;112;112
18610;1617;73;1;150;150
22532;1889;88;1;115;115
29655;2340;82;1;136;136
38177;2739;79;2;167;334
45989;2987;19;1;146;146
51081;3253;53;1;490;490
28770;2289;25;1;106;106
38886;2821;6;1;84;84
46808;3038;27;1;116;116
36014;2651;60;2;187;374
48009;342;71;1;150;150
12163;1283;63;1;96;96
13890;1364;4;1;84;84
17036;1540;24;1;106;106
21146;1785;77;1;156;156
28391;2271;79;1;167;167
34266;2555;17;1;146;146
47823;329;7;1;84;84
9755;1130;92;3;75;225
18724;1626;82;1;136;136
20221;1726;1;1;139;139
35285;2610;39;1;290;290
4592;546;44;1;112;112
11106;1236;42;1;112;112
27391;2206;62;1;96;96
7814;1008;33;1;144;144
34686;2587;78;1;167;167
36657;2674;62;3;96;288
7398;978;1;1;139;139
20722;1754;36;2;162;324
26569;2166;31;1;144;144
34027;2549;18;1;146;146
44148;813;83;1;136;136
12707;1304;14;1;167;167
12888;1317;77;1;156;156
19797;1695;15;1;167;167
27239;2195;74;1;156;156
28062;2251;15;2;167;334
30973;2406;75;4;156;624
38852;2820;54;1;178;178
42133;2958;36;1;162;162
33653;2529;76;1;156;156
46616;3026;76;2;156;312
47639;289;81;1;167;167
50422;3219;74;1;156;156
14575;1400;43;1;112;112
23187;1934;19;1;146;146
48319;393;5;1;84;84
17267;1545;56;2;178;356
54658;3423;42;3;112;336
15352;1441;25;2;106;212
15478;1446;5;1;84;84
15852;1462;14;2;167;334
41268;1148;79;1;167;167
48950;3120;44;2;112;224
365;39;49;1;153;153
378;38;91;3;75;225
6069;772;37;1;162;162
13309;1336;72;1;150;150
13679;1352;25;1;106;106
14439;1395;62;2;96;192
21038;1781;75;5;156;780
32173;2450;86;1;115;115
37578;2716;58;2;187;374
38718;2780;65;1;96;96
50845;3222;14;1;167;167
11180;1242;43;1;112;112
38143;2738;30;2;144;288
38706;2773;9;1;182;182
4289;505;92;3;75;225
8062;1024;17;1;146;146
16072;1481;78;1;167;167
48130;429;52;2;490;980
52611;3071;24;3;106;318
2169;230;38;1;290;290
32185;2453;91;6;75;450
38871;2820;84;1;136;136
50159;3202;44;1;112;112
52166;3395;28;1;116;116
25072;2077;52;2;490;980
25291;2089;76;1;156;156
26011;2134;36;1;162;162
28439;2275;3;1;139;139
36402;2663;12;1;144;144
39413;2824;34;2;162;324
41929;1219;30;1;144;144
44248;825;13;2;144;288
45690;2972;52;1;490;490
6120;784;2;1;139;139
9719;1129;36;2;162;324
21516;1803;79;2;167;334
35291;2610;26;1;106;106
43235;640;27;1;116;116
53626;3291;14;1;167;167
3108;399;9;1;182;182
24273;2025;51;1;490;490
28266;2262;87;1;115;115
41086;1143;92;3;75;225
45333;3055;71;1;150;150
45357;3058;49;2;153;306
51661;3364;79;1;167;167
7061;926;62;1;96;96
18110;1589;22;2;82;164
30006;2363;81;1;167;167
36930;2681;59;2;187;374
53869;3300;24;1;106;106
11328;1249;91;3;75;225
17092;1539;7;1;84;84
22558;1891;55;2;178;356
22618;1895;18;2;146;292
22994;1919;52;1;490;490
32032;2448;62;2;96;192
35747;2632;88;2;115;230
51495;3353;71;2;150;300
52026;3377;6;1;84;84
36547;2671;49;2;153;306
45281;3053;79;1;167;167
48534;3096;5;1;84;84
52734;3073;33;1;144;144
7632;995;34;2;162;324
23009;1919;8;1;182;182
40171;2891;44;1;112;112
44497;856;65;1;96;96
50437;3215;61;1;187;187
52328;3405;11;1;144;144
4964;575;64;2;96;192
15096;1431;22;1;82;82
24141;2015;21;1;82;82
1888;196;91;3;75;225
9174;1091;91;3;75;225
9993;1144;61;2;187;374
16705;1510;25;1;106;106
25584;2108;70;1;150;150
29292;2313;72;1;150;150
42796;2956;27;1;116;116
11792;1266;53;1;490;490
12751;1311;57;1;178;178
13796;1363;82;1;136;136
14574;1400;91;21;75;1575
17728;1568;84;1;136;136
23459;1957;60;1;187;187
29408;2323;24;1;106;106
34834;2597;89;1;115;115
37130;2697;9;1;182;182
13905;1366;71;1;150;150
19842;1701;35;1;162;162
32849;2493;57;1;178;178
39598;2838;56;1;178;178
39699;2847;86;1;115;115
12822;1315;86;1;115;115
4278;505;51;1;490;490
22993;1919;41;2;290;580
13526;1347;80;1;167;167
25224;2086;69;1;106;106
25633;2111;30;2;144;288
28046;2251;82;3;136;408
40531;2920;91;9;75;675
6757;901;87;1;115;115
52200;3397;84;1;136;136
5452;663;40;1;290;290
7950;1018;86;1;115;115
14025;1375;85;1;136;136
46483;3024;55;1;178;178
53589;3312;39;1;290;290
15226;1436;27;1;116;116
17993;1581;62;3;96;288
32968;2498;30;3;144;432
33289;2512;73;1;150;150
5194;633;80;1;167;167
14250;1382;75;1;156;156
19185;1654;18;3;146;438
43475;679;89;1;115;115
2781;353;30;1;144;144
8517;1063;49;3;153;459
9934;1146;14;1;167;167
24570;2049;3;1;139;139
53267;3342;32;1;144;144
261;24;82;2;136;272
3333;422;82;1;136;136
41494;1184;32;1;144;144
42191;2959;15;2;167;334
47584;282;79;1;167;167
4088;491;82;1;136;136
9495;1108;5;3;84;252
10106;1147;85;1;136;136
27635;2222;36;1;162;162
30311;2382;5;1;84;84
50414;3214;68;1;106;106
17505;1557;40;2;290;580
24964;2073;64;1;96;96
1139;113;40;1;290;290
1914;206;6;1;84;84
9256;1095;78;1;167;167
16761;1511;32;1;144;144
25019;2076;2;1;139;139
29866;2354;65;1;96;96
1800;189;24;1;106;106
14098;1377;79;1;167;167
14907;1422;3;2;139;278
22136;1860;35;2;162;324
23236;1939;75;1;156;156
28471;2272;30;2;144;288
29924;2357;3;3;139;417
3717;463;65;1;96;96
22002;1849;75;1;156;156
42024;2931;9;1;182;182
42578;2948;15;2;167;334
48931;3113;38;1;290;290
43558;692;91;9;75;675
52580;3067;79;1;167;167
215;20;24;1;106;106
5213;628;45;1;112;112
32690;2488;58;2;187;374
47622;289;62;2;96;192
533;60;62;1;96;96
25844;2123;56;1;178;178
8046;1026;5;1;84;84
9136;1089;86;1;115;115
22005;1849;13;2;144;288
32015;2448;32;2;144;288
39051;2792;80;1;167;167
40309;2909;73;1;150;150
6322;826;13;2;144;288
12809;1313;70;1;150;150
15815;1464;75;1;156;156
35894;2634;52;1;490;490
217;20;75;3;156;468
2681;339;35;1;162;162
10636;1212;61;1;187;187
36041;2646;27;1;116;116
36067;2646;58;1;187;187
41884;1221;49;1;153;153
42871;579;35;1;162;162
47190;205;56;1;178;178
47379;236;72;1;150;150
9601;1118;76;2;156;312
12055;1278;76;1;156;156
28620;2281;56;1;178;178
46789;3035;15;1;167;167
3462;439;10;1;182;182
6511;868;5;1;84;84
22004;1849;7;2;84;168
29007;2299;45;2;112;224
38156;2738;40;1;290;290
6337;826;54;1;178;178
14332;1385;35;3;162;486
3864;470;72;2;150;300
9743;1130;44;2;112;224
18028;1588;28;1;116;116
27307;2198;89;3;115;345
51790;3411;5;1;84;84
21849;1837;36;1;162;162
24354;2028;46;1;153;153
24610;2055;59;1;187;187
27697;2231;93;3;75;225
38242;2741;49;1;153;153
40124;2884;82;1;136;136
47088;277;73;1;150;150
23985;2007;7;1;84;84
29137;2304;88;2;115;230
31076;2413;46;1;153;153
47246;208;74;1;156;156
4501;534;91;3;75;225
17015;1532;85;1;136;136
37012;2687;62;2;96;192
52075;3394;26;1;106;106
19873;1701;82;1;136;136
33816;2539;11;1;144;144
43897;761;56;1;178;178
1896;196;29;1;116;116
9983;1144;92;3;75;225
28333;2263;87;1;115;115
36276;2661;87;2;115;230
38529;2763;91;3;75;225
44570;886;27;1;116;116
45273;3053;54;1;178;178
1208;123;10;1;182;182
22009;1849;54;1;178;178
23455;1957;91;9;75;675
47739;312;50;1;490;490
7626;995;14;1;167;167
9441;1102;64;1;96;96
17278;1545;77;1;156;156
22034;1849;62;1;96;96
25306;2089;38;1;290;290
31212;2416;54;1;178;178
9427;1102;91;9;75;675
9687;1125;65;1;96;96
24008;2009;52;1;490;490
37937;2730;21;1;82;82
7653;993;73;1;150;150
23191;1938;71;1;150;150
44423;843;3;1;139;139
22920;1915;70;1;150;150
24062;2013;63;1;96;96
41831;1217;56;2;178;356
3440;439;42;2;112;224
6073;772;21;1;82;82
27244;2195;8;1;182;182
27588;2225;25;1;106;106
34392;2566;20;1;82;82
42582;2948;82;2;136;272
1162;118;36;2;162;324
4749;559;92;3;75;225
10799;1225;72;1;150;150
14421;1395;32;1;144;144
40965;1138;26;1;106;106
44468;861;73;1;150;150
30185;2376;92;9;75;675
45489;2970;22;1;82;82
5088;587;25;1;106;106
11787;1266;5;2;84;168
14106;1379;19;1;146;146
23004;1919;31;1;144;144
23088;1927;40;1;290;290
31200;2416;9;1;182;182
47863;328;33;1;144;144
52167;3395;49;2;153;306
487;58;17;1;146;146
25278;2088;17;1;146;146
30320;2382;79;1;167;167
49814;3168;91;15;75;1125
924;97;31;1;144;144
1795;189;7;1;84;84
6229;807;15;2;167;334
8199;1036;25;1;106;106
14175;1381;24;2;106;212
21497;1801;3;1;139;139
32752;2491;1;1;139;139
38237;2740;91;3;75;225
14536;1398;19;1;146;146
35366;2614;9;1;182;182
36742;2676;93;3;75;225
38322;2744;32;1;144;144
53099;3289;71;1;150;150
38314;2744;75;1;156;156
44616;960;77;1;156;156
51953;3380;17;1;146;146
663;71;78;1;167;167
7682;1001;11;1;144;144
27075;2184;69;1;106;106
33992;2548;18;1;146;146
38802;2816;44;2;112;224
39947;2894;10;1;182;182
45930;2980;65;1;96;96
6271;810;42;2;112;224
13684;1352;3;3;139;417
28727;2286;17;1;146;146
6093;779;82;1;136;136
30323;2382;73;1;150;150
46351;3007;72;2;150;300
53673;3298;49;1;153;153
51238;3265;91;3;75;225
3389;434;80;1;167;167
8336;1044;75;1;156;156
8623;1067;78;1;167;167
21359;1797;36;1;162;162
30149;2372;48;2;153;306
30466;2386;55;1;178;178
47425;229;78;2;167;334
4703;558;4;1;84;84
22281;1868;7;1;84;84
10485;1199;1;1;139;139
12545;1301;92;3;75;225
25205;2086;21;1;82;82
47046;178;91;3;75;225
16870;1527;55;1;178;178
33472;2523;59;2;187;374
34062;2550;56;1;178;178
45645;3006;35;3;162;486
10532;1194;25;1;106;106
25811;2121;19;1;146;146
26740;2171;85;1;136;136
46659;3029;36;2;162;324
54169;3324;38;1;290;290
9370;1100;6;1;84;84
14182;1381;9;1;182;182
37308;2705;71;1;150;150
44762;973;81;1;167;167
46587;3030;25;2;106;212
3066;395;91;12;75;900
7988;1020;50;1;490;490
5821;728;53;2;490;980
10186;1165;65;1;96;96
38164;2738;82;1;136;136
54082;3321;88;1;115;115
3614;452;6;1;84;84
4324;512;50;1;490;490
26351;2155;91;6;75;450
33947;2547;71;1;150;150
40740;1113;13;1;144;144
1775;180;20;1;82;82
4681;553;91;3;75;225
11091;1235;34;1;162;162
28184;2258;54;1;178;178
33607;2528;34;2;162;324
34379;2564;60;1;187;187
44048;787;71;1;150;150
46990;179;23;1;82;82
18057;1586;50;1;490;490
29030;2302;90;6;75;450
29884;2359;5;1;84;84
39301;2811;49;1;153;153
50895;3230;29;1;116;116
9453;1104;92;3;75;225
16248;1489;91;3;75;225
28414;2271;53;1;490;490
28622;2281;43;1;112;112
33664;2530;48;2;153;306
44820;915;5;2;84;168
48287;382;72;1;150;150
6853;906;23;2;82;164
12962;1318;56;1;178;178
25439;2096;51;1;490;490
37618;2716;79;1;167;167
47569;269;9;2;182;364
39933;2894;88;1;115;115
41223;1151;69;2;106;212
51619;3366;50;1;490;490
53954;3315;87;1;115;115
6340;822;91;3;75;225
23631;1986;81;1;167;167
30753;2400;59;1;187;187
14083;1375;1;1;139;139
24076;2013;59;3;187;561
26841;2175;8;1;182;182
12375;1294;32;1;144;144
20085;1709;71;1;150;150
41231;1151;16;2;167;334
53792;3311;34;1;162;162
33983;2548;48;1;153;153
42353;2939;91;9;75;675
52999;3091;44;3;112;336
10709;1218;80;1;167;167
29043;2302;76;1;156;156
29133;2304;3;1;139;139
37991;2732;41;1;290;290
49474;3147;77;1;156;156
20324;1736;36;1;162;162
20399;1733;90;3;75;225
22853;1913;82;2;136;272
26721;2171;90;9;75;675
27598;2226;69;1;106;106
29496;2329;25;1;106;106
30597;2392;7;1;84;84
32777;2491;20;1;82;82
43085;622;93;3;75;225
49992;3176;56;2;178;356
54543;3430;24;1;106;106
3893;474;32;1;144;144
6824;905;91;3;75;225
7409;976;10;4;182;728
10284;1181;56;1;178;178
17573;1560;49;1;153;153
28149;2259;45;1;112;112
46749;3036;50;2;490;980
48324;404;87;1;115;115
3396;434;74;2;156;312
14684;1411;83;1;136;136
18651;1619;16;1;167;167
47746;307;81;1;167;167
53310;3331;71;1;150;150
238;26;6;1;84;84
5858;732;11;1;144;144
19437;1670;81;1;167;167
21686;1817;69;2;106;212
21965;1843;1;1;139;139
34650;2586;75;1;156;156
39294;2817;18;1;146;146
49733;3160;92;3;75;225
53472;3305;91;12;75;900
1346;141;25;1;106;106
3736;463;40;1;290;290
18372;1602;88;2;115;230
24308;2026;69;1;106;106
45004;931;41;1;290;290
49528;3138;65;1;96;96
497;56;5;1;84;84
10515;1194;3;2;139;278
42349;2939;64;1;96;96
3320;422;30;2;144;288
7029;930;2;1;139;139
7755;1006;4;1;84;84
36577;2670;45;1;112;112
45149;3047;36;1;162;162
47825;329;24;1;106;106
11575;1256;15;1;167;167
14692;1412;44;1;112;112
19661;1683;18;1;146;146
27592;2224;52;1;490;490
42242;2960;40;1;290;290
45600;3011;23;1;82;82
6101;779;30;1;144;144
26474;2158;75;1;156;156
52699;3077;15;1;167;167
12121;1275;39;1;290;290
19917;1699;41;1;290;290
27274;2202;45;1;112;112
6102;779;5;1;84;84
26022;2134;8;2;182;364
51420;3279;49;1;153;153
9285;1098;15;1;167;167
11465;1251;88;1;115;115
44783;973;24;1;106;106
4318;512;26;1;106;106
10590;1202;24;2;106;212
12273;1290;49;3;153;459
32569;2481;43;1;112;112
46393;3022;34;1;162;162
52045;3377;74;1;156;156
8856;1073;13;1;144;144
47228;199;3;1;139;139
1717;171;54;2;178;356
2872;358;62;1;96;96
22764;1904;27;1;116;116
35532;2621;80;1;167;167
44489;856;25;2;106;212
9198;1093;88;3;115;345
9737;1131;24;1;106;106
14191;1381;62;1;96;96
39127;2795;18;1;146;146
39226;2815;33;1;144;144
45629;3010;91;3;75;225
47642;300;44;1;112;112
21155;1785;39;1;290;290
32514;2479;35;1;162;162
42834;2956;75;1;156;156
4081;491;11;1;144;144
12756;1311;44;1;112;112
24263;2019;26;1;106;106
31506;2427;85;1;136;136
34723;2590;48;3;153;459
49813;3164;79;1;167;167
2579;319;71;1;150;150
5681;717;61;1;187;187
5793;721;63;1;96;96
14630;1404;79;1;167;167
20438;1739;29;1;116;116
28855;2295;60;3;187;561
30822;2403;36;3;162;486
4724;557;62;1;96;96
44064;781;90;6;75;450
45951;2985;62;1;96;96
14444;1395;75;1;156;156
38863;2820;81;1;167;167
40021;2877;82;2;136;272
48128;429;41;1;290;290
53846;3300;81;1;167;167
10316;1176;55;1;178;178
13963;1371;73;2;150;300
31370;2422;6;1;84;84
33408;2517;54;1;178;178
35593;2623;91;21;75;1575
41966;2932;8;1;182;182
2251;253;90;3;75;225
21541;1804;50;1;490;490
27975;2245;36;5;162;810
34876;2599;53;2;490;980
43379;664;91;6;75;450
49272;3132;70;1;150;150
2903;360;20;1;82;82
3094;399;62;1;96;96
9471;1104;61;2;187;374
13948;1371;25;2;106;212
15981;1470;91;6;75;450
20773;1757;81;1;167;167
32062;2447;79;1;167;167
34759;2592;24;1;106;106
39822;2856;26;1;106;106
40503;2918;83;1;136;136
45508;2969;90;6;75;450
3114;399;27;1;116;116
31406;2423;44;3;112;336
35637;2628;58;1;187;187
41445;1168;90;3;75;225
26066;2136;40;2;290;580
48996;3120;65;1;96;96
26208;2146;3;1;139;139
31780;2440;55;1;178;178
32906;2497;55;1;178;178
54180;3324;61;1;187;187
28780;2289;85;1;136;136
32525;2481;91;24;75;1800
40328;2908;59;3;187;561
48453;410;39;1;290;290
270;31;53;1;490;490
6334;826;62;1;96;96
21391;1797;80;1;167;167
22379;1880;38;1;290;290
31294;2417;45;2;112;224
37346;2704;78;1;167;167
38652;2766;54;1;178;178
38921;2786;39;1;290;290
40990;1134;84;1;136;136
7358;961;40;1;290;290
16831;1521;84;1;136;136
18614;1617;22;2;82;164
27410;2211;82;1;136;136
31860;2441;27;1;116;116
52293;3406;40;1;290;290
532;60;54;1;178;178
12318;1292;88;1;115;115
15186;1433;4;1;84;84
29745;2344;3;1;139;139
32193;2453;43;1;112;112
1841;190;32;1;144;144
34539;2572;48;1;153;153
38306;2744;9;1;182;182
49000;3124;53;3;490;1470
369;37;44;1;112;112
4240;510;5;1;84;84
5445;655;16;1;167;167
5776;724;37;1;162;162
25578;2108;62;2;96;192
26733;2171;33;1;144;144
35251;2609;57;1;178;178
10175;1154;88;1;115;115
3268;416;12;1;144;144
10711;1218;86;1;115;115
17228;1544;15;2;167;334
29253;2312;40;1;290;290
32422;2475;32;1;144;144
43062;612;27;1;116;116
46945;880;30;1;144;144
47299;215;69;1;106;106
12522;1300;83;1;136;136
19850;1701;18;1;146;146
46741;3036;14;1;167;167
53062;3093;14;1;167;167
9692;1129;74;3;156;468
14090;1377;5;1;84;84
17608;1566;15;2;167;334
21014;1777;16;1;167;167
34449;2568;18;2;146;292
52933;3087;36;2;162;324
3179;413;79;1;167;167
30844;2403;86;1;115;115
43451;684;83;1;136;136
3992;482;79;1;167;167
23361;1948;41;1;290;290
27021;2182;15;2;167;334
36252;2660;15;2;167;334
37462;2710;42;2;112;224
45006;931;31;1;144;144
46247;3013;75;1;156;156
52916;3087;1;1;139;139
20177;1714;15;1;167;167
27205;2195;31;2;144;288
30795;2401;30;1;144;144
35513;2619;21;1;82;82
43565;711;91;6;75;450
51692;3373;15;1;167;167
4606;541;63;1;96;96
4667;551;79;2;167;334
16889;1525;18;1;146;146
35074;2605;7;1;84;84
46773;3035;40;1;290;290
3977;480;34;1;162;162
8595;1064;16;1;167;167
18176;1592;34;1;162;162
36043;2646;53;1;490;490
36692;2675;4;1;84;84
43307;642;68;1;106;106
3519;444;15;1;167;167
10483;1199;19;1;146;146
13773;1359;91;15;75;1125
32392;2471;91;3;75;225
39559;2837;82;2;136;272
41257;1148;5;3;84;252
13738;1356;86;1;115;115
37894;2728;90;3;75;225
43834;739;72;1;150;150
53037;3091;92;3;75;225
8696;1069;48;1;153;153
13883;1364;45;1;112;112
16842;1521;9;1;182;182
38397;2749;2;1;139;139
43824;755;88;2;115;230
45227;3050;91;6;75;450
52338;3061;52;1;490;490
5752;722;30;1;144;144
7799;1007;61;1;187;187
36073;2655;84;1;136;136
1293;130;38;1;290;290
12133;1286;89;1;115;115
15702;1458;83;1;136;136
18317;1604;79;2;167;334
28873;2294;70;1;150;150
36790;2679;82;1;136;136
51548;3351;37;2;162;324
